sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748433	LI6	0.99988	MHOM/BR/1997/NDI-017	NDI-017	NA	NDI_017	NDI-017	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748432	LI6	0.99988	MHOM/BR/1997/NDI-018	NDI-018	NA	NDI_018	NDI-018	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748431	LI6	0.99988	MHOM/BR/1997/NDI-020	NDI-020	NA	NDI_020	NDI-020	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748430	LI6	0.99988	MHOM/BR/1997/NDI-022	NDI-022	NA	NDI_022	NDI-022	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748429	LI6	0.99988	MHOM/BR/1997/NDI-033	NDI-033	NA	NDI_033	NDI-033	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748428	LI1	0.99988	MHOM/BR/1997/NDI-034	NDI-034	NA	NDI_034	NDI-034	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748425	LI1	0.99988	MHOM/BR/NA/NDI-044ES	NDI-044ES	NA	NDI_044ES	NDI-044ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	NA	0	0	NA	NA
SRR20748424	LI6	0.99988	MHOM/BR/1997/NDI-048	NDI-048	NA	NDI_048	NDI-048	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748423	LI6	0.99988	MHOM/BR/1997/NDI-050	NDI-050	NA	NDI_050	NDI-050	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748422	LI6	0.999876	MHOM/BR/1997/NDI-051	NDI-051	NA	NDI_051	NDI-051	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748421	LI6	0.99988	MHOM/BR/1997/NDI-052	NDI-052	NA	NDI_052	NDI-052	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748420	LI1	0.99988	MHOM/BR/NA/NDI-053ES	NDI-053ES	NA	NDI_053ES	NDI-053ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	NA	0	0	NA	NA
SRR20748419	LI1	0.99988	MHOM/BR/1997/NDI-054	NDI-054	NA	NDI_054	NDI-054	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748417	LI6	0.99988	MHOM/BR/1997/NDI-056	NDI-056	NA	NDI_056	NDI-056	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748383	LI1	0.99988	MHOM/BR/1998/NDI-060	NDI-060	NA	NDI_060	NDI-060	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748380	LI10	0.962031	MHOM/BR/NA/PI03C	PI03C	NA	PI03C	PI03C	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	0.0254336136621672	0	NA	Human
SRR20748379	LI12	0.99988	MHOM/BR/NA/PI12C	PI12C	NA	PI12C	PI12C	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	3.850941756868	4	NA	Human
SRR20748374	LI6	0.99988	MHOM/BR/1995/UB126	UB126	NA	UB126	UB126	Americas	BR	Brazil	Minas Gerais	Porteirinha	MHOM	Homo sapiens	6.75e-4	0	NA	Human
SRR20748372	LI1	0.99988	MHOM/BR/1995/UB128	UB128	NA	UB128	UB128	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748370	LI1	0.99988	MHOM/BR/NA/UB131ES	UB131ES	NA	UB131ES	UB131ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	Homo sapiens	0	0	NA	Human
SRR20748369	LI1	0.999873	MHOM/BR/1995/UB132	UB132	NA	UB132	UB132	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748367	LI6	0.99988	MHOM/BR/1996/UB149	UB149	NA	UB149	UB149	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748366	LI1	0.945727	MHOM/BR/NA/UB151BA	UB151BA	NA	UB151BA	UB151BA	Americas	BR	Brazil	Bahia	NA	MHOM	Homo sapiens	0.176832019345243	0	NA	Human
SRR20748365	LI1	0.99988	MHOM/BR/1996/UB156	UB156	NA	UB156	UB156	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748364	LI6	0.999875	MHOM/BR/1996/UB157	UB157	NA	UB157	UB157	Americas	BR	Brazil	Minas Gerais	Capitão Eneas	MHOM	Homo sapiens	0	0	NA	Human
SRR20748363	LI1	0.99988	MHOM/BR/1996/UB159	UB159	NA	UB159	UB159	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0.00466428030167759	0	NA	Human
SRR20748358	LI1	0.954753	MHOM/BR/1996/UB166	UB166	NA	UB166	UB166	Americas	BR	Brazil	Minas Gerais	Pirapora	MHOM	Homo sapiens	0.056022864629567	0	NA	Human
SRR20748357	LI1	0.99988	MHOM/BR/NA/UB174ES	UB174ES	NA	UB174ES	UB174ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	Homo sapiens	0	0	NA	Human
SRR20748355	LI6	0.99988	MHOM/BR/1996/UB184	UB184	NA	UB184	UB184	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748354	LI1	0.99988	MHOM/BR/1996/UB186	UB186	NA	UB186	UB186	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748353	LI1	0.99988	MHOM/BR/NA/UB188BA	UB188BA	NA	UB188BA	UB188BA	Americas	BR	Brazil	Bahia	NA	MHOM	Homo sapiens	0	0	NA	Human
SRR20748324	LI1	0.999871	MHOM/BR/NA/UB190ES	UB190ES	NA	UB190ES	UB190ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	Homo sapiens	0	0	NA	Human
SRR20748322	LI1	0.949754	MHOM/BR/1996/UB194	UB194	NA	UB194	UB194	Americas	BR	Brazil	Minas Gerais	Capitão Eneas	MHOM	Homo sapiens	0.23263628809502301	0	NA	Human
SRR20748321	LI1	0.99988	MHOM/BR/1997/UB203	UB203	NA	UB203	UB203	Americas	BR	Brazil	Minas Gerais	Francisco Sá	MHOM	Homo sapiens	0	0	NA	Human
SRR20748310	LI11	0.99988	MCAN/PY/2009/EG15	EG15	IOCL 3095	3095	EG15	Americas	PY	Paraguay	NA	NA	MCAN	Dog	0	0	DUPLICATE	Dog
SRR20748451	LI11	0.99988	MCAN/UY/2015/bCH11	bCH11	NA	bCH11	bCH11	Americas	UY	Uruguay	NA	NA	MCAN	NA	0	0	DUPLICATE	NA
SRR20748450	LI11	0.99988	MCAN/UY/2015/bPL7	bPL7	NA	bPL7	D4	Americas	UY	Uruguay	NA	NA	MCAN	NA	0	0	DUPLICATE	NA
