sample	population	population_proportion	source_country	source_state_or_region	host_species
SRR7970026	1	0.984642	Brazil	Minas Gerais	Homo sapiens
SRR7970027	6	0.953921	Brazil	Piauí	Homo sapiens
SRR7970028	7	0.99988	Brazil	Piauí	Homo sapiens
SRR7970029	6	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR7970030	7	0.99988	Brazil	Piauí	Homo sapiens
SRR7970031	8	0.99988	Brazil	Piauí	Homo sapiens
SRR7970034	8	0.944057	Brazil	Piauí	Homo sapiens
SRR10478767	2	0.99988	Brazil	Maranhão	NA
SRR10478771	2	0.99988	Brazil	Piauí	NA
SRR10478772	2	0.99988	Brazil	Maranhão	NA
SRR10478774	2	0.99988	Brazil	Maranhão	NA
SRR10478777	2	0.999879	Brazil	Piauí	NA
SRR10478778	2	0.993057	Brazil	Maranhão	NA
SRR10478781	2	0.99988	Brazil	Piauí	NA
SRR10478782	2	0.99988	Brazil	Piauí	NA
SRR10478783	2	0.999872	Brazil	Maranhão	NA
SRR10478784	2	0.999876	Brazil	Maranhão	NA
SRR10478786	2	0.99988	Brazil	Piauí	NA
SRR10478787	2	0.950664	Brazil	Maranhão	NA
SRR10478789	2	0.99988	Brazil	Maranhão	NA
SRR10478792	2	0.999876	Brazil	Maranhão	NA
SRR10478793	2	0.99988	Brazil	Piauí	NA
SRR10478795	2	0.999874	Brazil	Piauí	NA
SRR10478796	2	0.99988	Brazil	Maranhão	NA
SRR12506670	5	0.99988	Brazil	Mato Grosso	NA
SRR12506671	11	0.963714	Brazil	Minas Gerais	NA
SRR12506673	11	0.969921	Brazil	Minas Gerais	NA
SRR12506678	5	0.99988	Brazil	Mato Grosso	NA
SRR12506679	4	0.99988	Brazil	Mato Grosso do Sul	NA
SRR12506681	4	0.999868	Brazil	Mato Grosso do Sul	NA
SRR12506684	4	0.99988	Brazil	Mato Grosso do Sul	NA
SRR12506685	4	0.999878	Brazil	Mato Grosso do Sul	Dog
SRR12506686	4	0.999873	Brazil	Mato Grosso do Sul	Dog
SRR12506688	4	0.99988	Brazil	Mato Grosso do Sul	Dog
SRR12506689	4	0.99988	Brazil	Mato Grosso do Sul	NA
SRR12506692	5	0.99988	Brazil	Mato Grosso	NA
SRR12506693	5	0.99988	Brazil	Mato Grosso	NA
SRR12506694	11	0.99988	Brazil	Espírito Santo	NA
SRR12506695	5	0.99988	Brazil	Mato Grosso	NA
SRR12506696	5	0.99988	Brazil	Mato Grosso	NA
SRR12506697	3	0.99988	Brazil	São Paulo	NA
SRR12506698	11	0.927886	Brazil	São Paulo	NA
SRR12506701	10	0.99988	Brazil	Rio Grande do Norte	NA
SRR12506702	10	0.99988	Brazil	Rio Grande do Norte	NA
SRR12506703	10	0.99988	Brazil	Rio Grande do Norte	NA
SRR12506705	11	0.999872	Brazil	Espírito Santo	Human
SRR12506706	10	0.99988	Brazil	Rio Grande do Norte	NA
SRR12506707	10	0.99988	Brazil	Rio Grande do Norte	NA
SRR12506708	10	0.99988	Brazil	Rio Grande do Norte	NA
SRR12506709	10	0.999875	Brazil	Rio Grande do Norte	NA
SRR12506710	10	0.999878	Brazil	Rio Grande do Norte	NA
