sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748387	LO11	0.99989	MCAN/BR/2015/LUMA	LUMA	IOCL 3734	3734	LUMA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748386	LO11	0.99989	MCAN/BR/2010/PONGO	PONGO	IOCL 3735	3735	PONGO	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748352	LO11	0.999883	MCAN/BR/2016/NICK	NICK	IOCL 3738	3738	NICK	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748351	LO11	0.99989	MCAN/BR/2015/BOMBOM	BOMBOM	IOCL 3739	3739	BOMBOM	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748350	LO11	0.99989	MCAN/BR/2015/SCOOBY	SCOOBY	IOCL 3741	3741	SCOOBY	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748347	LO11	0.99989	MCAN/BR/2015/BONECA	BONECA	IOCL 3744	3744	BONECA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748345	LO11	0.99989	MCAN/BR/2015/GORKIM	GORKIM	IOCL 3750	3750	GORKIM	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748344	LO11	0.99989	MCAN/BR/2015/HANNA	HANNA	IOCL 3751	3751	HANNA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748342	LO11	0.99989	MCAN/BR/2015/MAGRELO	MAGRELO	IOCL 3753	3753	MEGRELO	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748341	LO11	0.99989	MCAN/BR/2016/BOLA	BOLA	IOCL 3754	3754	BOLA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748340	LO11	0.99989	MCAN/BR/2015/NICO	NICO	IOCL 3755	3755	NICO	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748339	LO11	0.99989	MCAN/BR/2017/BETANIA	BETANIA	IOCL 3757	3757	BETANIA	Americas	BR	Brazil	Rio de Janeiro	NA	MCAN	Dog	0	0	NA	Dog
SRR20748462	LO2	0.901017	MHOM/BR/2017/6893P	6893P	NA	6893P	6893P	Americas	BR	Brazil	Piauí	Teresina	MHOM	Homo sapiens	0.37388921869655	0	NA	Human
SRR20748461	LO2	0.99989	MHOM/BR/2017/6950P	6950P	NA	6950P	6950P	Americas	BR	Brazil	Piauí	Nossa Senhora dos Remédios	MHOM	Homo sapiens	0	0	NA	Human
SRR20748456	LO7	0.99989	MHOM/BR/NA/6969P	6969P	NA	7015P	7015P	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748455	LO7	0.954467	MHOM/BR/2017/7024P	7024P	NA	7024P	7024P	Americas	BR	Brazil	Piauí	Piripiri	MHOM	Homo sapiens	3.64864044435569	4	NA	Human
SRR20748443	LO10	0.99989	MHOM/BR/NA/MG16C	MG16C	NA	MG16C	MG16C	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.0121842131159967	0	NA	Human
SRR20748442	LO10	0.99989	MHOM/BR/NA/MG18C	MG18C	NA	MG18C	MG18C	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.00720254169502936	0	NA	Human
SRR20748441	LO10	0.99989	MHOM/BR/1996/NDI-002	NDI-002	NA	NDI_002	NDI_002	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748440	LO10	0.99989	MHOM/BR/1996/NDI-004	NDI-004	NA	NDI_004	NDI-004	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748439	LO10	0.99989	MHOM/BR/1996/NDI-005	NDI-005	NA	NDI_005	NDI-005	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748436	LO7	0.99989	MHOM/BR/1997/NDI-009	NDI-009	NA	NDI_009	NDI-009	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748434	LO10	0.99989	MHOM/BR/1997/NDI-011	NDI-011	NA	NDI_011	NDI-011	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748433	LO7	0.999875	MHOM/BR/1997/NDI-017	NDI-017	NA	NDI_017	NDI-017	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748432	LO7	0.99989	MHOM/BR/1997/NDI-018	NDI-018	NA	NDI_018	NDI-018	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748430	LO7	0.99989	MHOM/BR/1997/NDI-022	NDI-022	NA	NDI_022	NDI-022	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748429	LO7	0.990626	MHOM/BR/1997/NDI-033	NDI-033	NA	NDI_033	NDI-033	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
