label	stat	win_start	n_snps	r_value	vcft_value	diff
AM9 LinJ.36 diploid	tajima_d	1200001	74	-1.63165478331509	-1.71621	0.0845552166849097
AM9 LinJ.36 diploid	tajima_d	1250001	101	-1.48661900459083	-1.48662	9.95409174864292e-07
AM9 LinJ.36 diploid	tajima_d	1300001	101	-1.59824478778846	-1.59824	-4.78778845836025e-06
AM9 LinJ.36 diploid	tajima_d	1400001	87	-1.42711139029391	-1.71621	0.289098609706085
AM9 LinJ.36 diploid	tajima_d	1450001	109	-1.48661900459083	-1.48662	9.95409174864292e-07
AM9 LinJ.36 diploid	tajima_d	1500001	99	-1.67264914504441	-1.63882	-0.0338291450444068
AM9 LinJ.36 diploid	tajima_d	1550001	104	-1.87967107680403	-1.87967	-1.07680402972044e-06
AM9 LinJ.36 diploid	tajima_d	1600001	120	-1.48661900459083	-1.48662	9.95409174864292e-07
AM9 LinJ.36 diploid	tajima_d	1650001	126	-1.74513905408912	-1.5696	-0.175539054089119
AM9 LinJ.36 diploid	tajima_d	1700001	75	0.0475055868266766	0.0475056	-1.31733234459697e-08
AM9 LinJ.36 diploid	tajima_d	1750001	104	-2.10096300044147	-2.10096	-3.00044147261147e-06
AM9 LinJ.36 diploid	tajima_d	1800001	144	-1.78529417611888	-1.78529	-4.17611888314795e-06
AM9 LinJ.36 diploid	tajima_d	1850001	113	-2.10023096198314	-2.10023	-9.61983141589684e-07
AM9 LinJ.36 diploid	tajima_d	1900001	136	-1.62599774520187	-1.626	2.25479813265039e-06
AM9 LinJ.36 diploid	tajima_d	1950001	133	-1.71620927922594	-1.71621	7.20774060436469e-07
AM9 LinJ.36 diploid	tajima_d	2000001	114	-0.567983855333656	-0.567984	1.44666344348288e-07
AM9 LinJ.36 diploid	tajima_d	2100001	115	-0.848247023144423	-0.369414	-0.478833023144423
AM9 LinJ.36 diploid	tajima_d	2150001	175	-2.10023096198314	-2.10023	-9.61983141589684e-07
AM9 LinJ.36 diploid	tajima_d	2200001	133	-1.71620927922594	-1.71621	7.20774060436469e-07
AM9 LinJ.36 diploid	tajima_d	2250001	166	-1.86556691313231	-1.71621	-0.149356913132305
AM9 LinJ.36 diploid	tajima_d	2300001	211	-1.80361667264768	-1.80362	3.32735231722836e-06
AM9 LinJ.36 diploid	tajima_d	2350001	103	-1.56960248777344	-1.5696	-2.48777343947459e-06
AM9 LinJ.36 diploid	tajima_d	2400001	129	-0.418792136934007	-0.233821	-0.184971136934007
AM9 LinJ.36 diploid	tajima_d	2450001	61	-2.00343796602423	-2.00344	2.03397577447362e-06
AM9 LinJ.36 diploid	tajima_d	2500001	101	-0.479957416167018	-0.479957	-4.16167018235658e-07
AM9 LinJ.36 diploid	tajima_d	2550001	187	-1.31950716536182	-1.31951	2.83463818240293e-06
AM9 LinJ.36 diploid	tajima_d	2600001	131	-0.263992826723105	-0.0218768	-0.242116026723105
AM9 LinJ.36 diploid	tajima_d	2650001	118	-1.24056572147534	-1.24057	4.27852465922918e-06
AM9 LinJ.36 diploid	tajima_d	2700001	114	-1.63881535871766	-1.63882	4.64128234156647e-06
AM2-AM9 LinJ.36 diploid	fst	1	142	0	0.0192932	-0.0192932
AM2-AM9 LinJ.36 diploid	fst	100001	130	0	0.014693	-0.014693
AM2-AM9 LinJ.36 diploid	fst	200001	199	0.0672723769940072	0.100279	-0.0330066230059928
AM2-AM9 LinJ.36 diploid	fst	250001	164	0.00949135112534131	0.0169568	-0.00746544887465869
AM2-AM9 LinJ.36 diploid	fst	400001	109	0	0.0254637	-0.0254637
AM2-AM9 LinJ.36 diploid	fst	500001	131	0.0173192312378168	0.0484374	-0.0311181687621832
AM2-AM9 LinJ.36 diploid	fst	550001	260	0.0254306886659743	0.0973445	-0.0719138113340257
AM2-AM9 LinJ.36 diploid	fst	700001	95	0	0.0226261	-0.0226261
AM2-AM9 LinJ.36 diploid	fst	1750001	104	0	0.0143957	-0.0143957
AM2-AM9 LinJ.36 diploid	fst	2000001	114	0.0163194640100142	0.0159322	0.000387264010014161
AM2-AM9 LinJ.36 diploid	fst	2150001	175	0	0.0204541	-0.0204541
AM2-AM9 LinJ.36 diploid	fst	2400001	129	0.0590481049227929	0.139113	-0.0800648950772071
AM2-AM9 LinJ.36 diploid	fst	2550001	187	0.0123201517689117	0.0757424	-0.0634222482310883
AM2-AM9 LinJ.36 diploid	fst	2600001	131	0.0587090842136726	0.103542	-0.0448329157863274
AM2-AM9 LinJ.36 diploid	fst	2650001	118	0.0545197186128829	0.103385	-0.0488652813871171
AM2 LinJ.31 pseudodiploid	pi	1	534	0.000116484386353815	7.49233e-05	4.15610863538155e-05
AM2 LinJ.31 pseudodiploid	pi	50001	548	5.04970848882378e-06	3.56244e-06	1.48726848882378e-06
AM2 LinJ.31 pseudodiploid	pi	100001	556	2.22514327423003e-05	1.93101e-05	2.94133274230031e-06
AM2 LinJ.31 pseudodiploid	pi	150001	567	7.77981138788252e-07	7.50225e-07	2.77561387882524e-08
AM2 LinJ.31 pseudodiploid	pi	200001	490	1.26525174196975e-05	1.21747e-05	4.77817419697536e-07
AM2 LinJ.31 pseudodiploid	pi	250001	452	3.97790424069057e-06	2.78776e-06	1.19014424069057e-06
AM2 LinJ.31 pseudodiploid	pi	300001	523	7.02921368929952e-06	5.0699e-06	1.95931368929952e-06
AM2 LinJ.31 pseudodiploid	pi	350001	258	1.77277993044902e-05	1.35979e-06	1.63680093044902e-05
AM2 LinJ.31 pseudodiploid	pi	400001	433	3.18248921269834e-05	2.8175e-05	3.64989212698338e-06
AM2 LinJ.31 pseudodiploid	pi	450001	362	1.30277536989434e-05	1.23624e-05	6.65353698943411e-07
AM2 LinJ.31 pseudodiploid	pi	500001	391	1.87892984914611e-05	1.53924e-05	3.39689849146109e-06
AM2 LinJ.31 pseudodiploid	pi	550001	379	8.63264308217069e-06	5.68744e-06	2.94520308217068e-06
AM2 LinJ.31 pseudodiploid	pi	600001	458	2.1997978922322e-06	1.58602e-06	6.13777892232198e-07
AM2 LinJ.31 pseudodiploid	pi	650001	135	3.78796381843414e-06	2.51565e-06	1.27231381843415e-06
AM2 LinJ.31 pseudodiploid	pi	700001	343	1.14921703981684e-05	1.02376e-05	1.25457039816845e-06
AM2 LinJ.31 pseudodiploid	pi	750001	402	8.99417288699392e-07	2.85724e-07	6.13693288699392e-07
AM2 LinJ.31 pseudodiploid	pi	800001	388	5.3409694942858e-06	1.13461e-06	4.2063594942858e-06
AM2 LinJ.31 pseudodiploid	pi	850001	407	1.63617812573984e-05	1.36352e-05	2.72658125739843e-06
AM2 LinJ.31 pseudodiploid	pi	900001	411	1.57872976206122e-05	7.78411e-06	8.0031876206122e-06
AM2 LinJ.31 pseudodiploid	pi	950001	332	3.5903222138378e-06	1.7655e-06	1.8248222138378e-06
AM2 LinJ.31 pseudodiploid	pi	1000001	535	2.40483968148457e-05	2.15771e-05	2.47129681484567e-06
AM2 LinJ.31 pseudodiploid	pi	1050001	468	4.14109748164833e-06	3.79573e-06	3.45367481648334e-07
AM2 LinJ.31 pseudodiploid	pi	1100001	557	1.24675620500786e-05	1.05549e-05	1.91266205007865e-06
AM2 LinJ.31 pseudodiploid	pi	1150001	400	1.92644302328557e-05	1.44187e-05	4.84573023285573e-06
AM2 LinJ.31 pseudodiploid	pi	1200001	524	1.84492889727831e-05	1.17969e-05	6.65238897278309e-06
AM2 LinJ.31 pseudodiploid	pi	1250001	583	7.00376183375837e-06	3.70323e-06	3.30053183375837e-06
AM2 LinJ.31 pseudodiploid	pi	1300001	435	2.64029708776693e-05	2.26511e-05	3.75187087766926e-06
AM2 LinJ.31 pseudodiploid	pi	1350001	417	1.28038104475671e-05	1.10886e-05	1.71521044756707e-06
AM2 LinJ.31 pseudodiploid	pi	1400001	432	1.12751472050635e-05	9.99294e-06	1.28220720506352e-06
AM2 LinJ.31 pseudodiploid	pi	1450001	413	3.76928605930463e-06	1.98462e-06	1.78466605930463e-06
AM2 LinJ.31 pseudodiploid	pi	1500001	194	6.85683551560136e-06	6.44139e-06	4.15445515601365e-07
AM9 LinJ.31 pseudodiploid	pi	1	534	0.000139548673119664	0.000102041	3.75076731196638e-05
AM9 LinJ.31 pseudodiploid	pi	50001	548	2.67264140715443e-05	1.74122e-05	9.31421407154428e-06
AM9 LinJ.31 pseudodiploid	pi	100001	556	1.91770586550899e-05	1.32347e-05	5.94235865508992e-06
AM9 LinJ.31 pseudodiploid	pi	150001	567	1.49766492957429e-05	9.05767e-06	5.91897929574292e-06
AM9 LinJ.31 pseudodiploid	pi	200001	490	3.27564102564103e-06	3.23418e-06	4.1461025641026e-08
AM9 LinJ.31 pseudodiploid	pi	250001	452	9.35989724293614e-06	7.00655e-06	2.35334724293614e-06
AM9 LinJ.31 pseudodiploid	pi	300001	523	1.02783936367696e-05	3.80395e-06	6.47444363676959e-06
AM9 LinJ.31 pseudodiploid	pi	350001	258	9.5474358974359e-06	8.39258e-06	1.1548558974359e-06
AM9 LinJ.31 pseudodiploid	pi	400001	433	2.01797411045022e-05	1.52162e-05	4.96354110450218e-06
AM9 LinJ.31 pseudodiploid	pi	450001	362	5.92616191904048e-06	2.09502e-06	3.83114191904048e-06
