sample	population	population_proportion	coverage_rounded	msl_status
SRR20748376	V11	0.87407	2	MSL+
SRR20748386	V11	0.99988	0	MSL-
SRR20748387	V11	0.99988	0	MSL-
SRR20748388	V11	0.99988	0	MSL-
SRR20748390	V11	0.99988	0	MSL-
SRR20748391	V11	0.99988	0	MSL-
SRR20748392	V11	0.99988	0	MSL-
SRR20748393	V11	0.99988	0	MSL-
SRR20748404	V11	0.666896	0	MSL-
SRR20748406	V11	0.99988	0	MSL-
SRR20748411	V11	0.877245	0	MSL-
SRR20748412	V11	0.931784	0	MSL-
SRR20748426	V11	0.873938	0	MSL-
SRR20748445	V11	0.99988	0	MSL-
SRR20748447	V11	0.984408	0	MSL-
SRR20748448	V11	0.905701	0	MSL-
SRR20748449	V11	0.768352	0	MSL-
SRR20748450	V11	0.99988	0	MSL-
SRR20748451	V11	0.99988	0	MSL-
SRR20748483	V11	0.607092	0	MSL-
SRR6369656	V11	0.670966	0	MSL-
SRR7970023	V11	0.699876	0	MSL-
SRR12506677	V12	0.99988	4	MSL+
SRR12506690	V12	0.693248	2	MSL+
SRR13744590	V12	0.856365	4	MSL+
SRR13744591	V12	0.951625	4	MSL+
SRR13744592	V12	0.933545	4	MSL+
SRR13744595	V12	0.846059	4	MSL+
SRR13744596	V12	0.997913	4	MSL+
SRR13744597	V12	0.962666	3	MSL+
SRR13744598	V12	0.908098	3	MSL+
SRR13744599	V12	0.99988	4	MSL+
SRR13744600	V12	0.985634	4	MSL+
SRR13744605	V12	0.99988	4	MSL+
SRR13744606	V12	0.999871	4	MSL+
SRR13744607	V12	0.99988	4	MSL+
SRR13744608	V12	0.99988	4	MSL+
SRR13744610	V12	0.99988	4	MSL+
SRR13744611	V12	0.593513	2	MSL+
SRR13744612	V12	0.99988	4	MSL+
SRR13744617	V12	0.99988	4	MSL+
SRR13744629	V12	0.999877	4	MSL+
SRR13744630	V12	0.99988	4	MSL+
SRR13744632	V12	0.999872	4	MSL+
SRR13744633	V12	0.993262	4	MSL+
SRR13744634	V12	0.99988	1	MSL+
SRR13744635	V12	0.99988	4	MSL+
SRR13744636	V12	0.99988	3	MSL+
SRR13744638	V12	0.99988	4	MSL+
SRR13744639	V12	0.834125	4	MSL+
SRR13744640	V12	0.717567	1	MSL+
SRR13744659	V12	0.417312	1	MSL+
SRR13744670	V12	0.519312	3	MSL+
SRR13744681	V12	0.99988	4	MSL+
SRR16972311	V12	0.771686	0	MSL-
SRR16972314	V12	0.99988	4	MSL+
SRR16972315	V12	0.886298	4	MSL+
SRR16972316	V12	0.952763	3	MSL+
SRR16972318	V12	0.871877	4	MSL+
SRR16972319	V12	0.960467	4	MSL+
SRR16972321	V12	0.99988	4	MSL+
SRR16972322	V12	0.99988	3	MSL+
SRR16972323	V12	0.819805	4	MSL+
SRR16972335	V12	0.720836	2	MSL+
SRR16972337	V12	0.97377	4	MSL+
SRR16972338	V12	0.99988	4	MSL+
SRR16972339	V12	0.960641	4	MSL+
SRR16972340	V12	0.791645	4	MSL+
SRR16972342	V12	0.633973	2	MSL+
SRR16972343	V12	0.99988	4	MSL+
SRR20748308	V12	0.99988	4	MSL+
SRR20748362	V12	0.940243	4	MSL+
SRR20748379	V12	0.99988	4	MSL+
SRR20748395	V12	0.99988	3	MSL+
SRR20748398	V12	0.97639	4	MSL+
SRR20748399	V12	0.99988	4	MSL+
SRR20748401	V12	0.99988	4	MSL+
SRR20748455	V12	0.960439	4	MSL+
SRR20748456	V12	0.578796	0	MSL-
SRR20748458	V12	0.641572	4	MSL+
SRR7970013	V12	0.996732	4	MSL+
SRR7970014	V12	0.47887	0	MSL-
SRR7970015	V12	0.99988	4	MSL+
SRR7970016	V12	0.967383	4	MSL+
SRR7970019	V12	0.670844	4	MSL+
SRR7970031	V12	0.99988	4	MSL+
SRR7970032	V12	0.605715	3	MSL+
SRR7970034	V12	0.953417	4	MSL+
SRR7970035	V12	0.605218	3	MSL+
SRR7970036	V12	0.909021	4	MSL+
SRR7970037	V12	0.834862	4	MSL+
ERR205736	V13	0.860506	3	MSL+
ERR205750	V13	0.99988	4	MSL+
ERR205751	V13	0.999871	4	MSL+
ERR304753	V13	0.99988	3	MSL+
SRR20748326	V13	0.599634	4	MSL+
SRR20748332	V13	0.615771	4	MSL+
SRR20748333	V13	0.632527	4	MSL+
SRR20748453	V13	0.99988	3	MSL+
SRR20748463	V13	0.999874	4	MSL+
SRR20748464	V13	0.703733	4	MSL+
SRR20748469	V13	0.99986	4	MSL+
SRR20748470	V13	0.99988	4	MSL+
SRR20748472	V13	0.99988	4	MSL+
